candidate,n_folds,validation_folds,hidden_dim,learning_rate,max_steps,date_batch_size,lambda_mse,lambda_r2,lambda_alpha_corr,min_completed_epoch_equivalents,all_shuffle_train_dates,unique_model_states,rankic_mean,rankic_std,icir_mean,rankic_win_rate_mean,hit_rate_mean,top_excess_mean,top_excess_std,top_excess_trimmed_mean,top_excess_trimmed_std,long_short_mean,long_short_std,top_annualized_approx,top_annualized_std,top_trimmed_annualized_approx,long_short_annualized_approx,latest_fold,latest_fold_rankic,latest_fold_top_annualized_approx,beta_rankic_mean,beta_abs_signed_rankic_mean,beta_abs_rankic_mean,beta_abs_icir_mean,beta_win_rate_mean,beta_autocorrelation_mean,beta_abs_signed_rankic_le_3pct_rate,beta_abs_icir_le_0_2_rate,beta_win_rate_le_0_6_rate,beta_abs_rankic_ge_0_08_rate,beta_autocorrelation_ge_0_7_rate,rolling_rsquare_mean,sweep_root
h32_tuned,5,"0,1,2,3,4",32,0.00035,2040,2,5.0,0.5,0.2,1.0,True,5,0.118519112029926,0.012602142126890332,0.9260791649972913,0.8271781254209241,0.5389582293388636,0.01490548629801729,0.005053783785351867,0.013661342583532323,0.005079194638934655,0.03424266762971395,0.007717816225106828,0.34147114064548706,0.1157775921735155,0.31296893918637686,0.7844683856989014,4,0.1067364921520188,0.20893448829406142,0.003657102934576715,0.023325312176255202,0.10493922897446077,0.18083731654170992,0.5088728857588178,0.6608218926171182,0.6833333333333333,0.5833333333333334,0.8333333333333334,0.9333333333333333,0.43333333333333335,0.3467799055717947,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h32_tuned_cv_20260717
h48_tuned,5,"0,1,2,3,4",48,0.0003,2040,2,5.0,0.5,0.15,1.0,True,5,0.11808344537044205,0.013559841770334688,0.8971225781516168,0.8156031480305567,0.5382781272199331,0.01689114412774323,0.006714742727595177,0.015247619309829628,0.0063488761741198945,0.036862471143639206,0.009773379087978611,0.3869607563810267,0.15382865157763498,0.34930909691609696,0.844485702563371,4,0.1080172944789935,0.23688290321800043,0.014474011979975481,0.024012090517847553,0.11206473500140755,0.17613088017254133,0.5372496744854305,0.6932379760030751,0.6666666666666666,0.65,0.7333333333333333,0.9333333333333333,0.5166666666666667,0.3500977322280181,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h48_tuned_cv_20260717
h64_tuned,5,"0,1,2,3,4",64,0.0003,2040,2,5.0,0.5,0.3,1.0,True,5,0.11961445224114693,0.014186753622314006,0.8751101539555755,0.8105045315476535,0.5392735502516228,0.01683657111735657,0.005678379241248417,0.015204299861172244,0.0055801319288146505,0.035734824197079476,0.007175342072150942,0.385710538324896,0.13008650625405466,0.34831668772867325,0.8186523361512753,4,0.1066567402756179,0.24102573661055418,-0.003144761097231681,0.023634628339037615,0.10625435096208796,0.1772414279744791,0.4896840103394973,0.6319803304959714,0.7166666666666667,0.6833333333333333,0.8833333333333333,0.9166666666666666,0.38333333333333336,0.34800502593047156,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h64_tuned_cv_20260717
h32_pdf_loss,5,"0,1,2,3,4",32,0.00035,2040,2,1.0,1.0,0.0,1.0,True,5,0.04649671498251982,0.018451121968892648,0.3932219706588366,0.658890492408936,0.5141008106682832,0.009191002914428655,0.0060855460720785305,0.007415671190760598,0.004926602973917607,0.01807206177650498,0.00824750265059996,0.21055752131236555,0.13941432819670815,0.16988628546106097,0.41401450615265956,4,0.0410643268381758,0.23014335892483825,-0.007028218058932502,0.027453897256157118,0.11403289495214992,0.21343186883981882,0.47500984561308984,0.7444185416227558,0.6666666666666666,0.6,0.8833333333333333,0.95,0.6833333333333333,0.3532901187784178,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h32_pdf_loss_cv_20260717
